q1	tie_b	656	257	1.66e-94	1	120	1	360	1	120
q1	tie_a	656	257	1.66e-94	1	120	1	360	1	120
q1	partial_codon	656	257	1.66e-94	1	120	1	360	1	120
q1	minus3	656	257	1.66e-94	1	120	360	1	-3	120
q1	minus2	656	257	1.66e-94	1	120	361	2	-2	120
q1	minus1	656	257	1.66e-94	1	120	362	3	-1	120
q1	plus3	656	257	1.66e-94	1	120	3	362	3	120
q1	plus2	656	257	1.66e-94	1	120	2	361	2	120
q1	plus1	656	257	1.66e-94	1	120	1	360	1	120
q1	internal_stop	647	253	3.92e-93	1	120	1	360	1	120
q1	ambiguous	646	253	5.57e-93	1	120	1	360	1	120
